-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                        CPU time        CUDA time            Calls        CPU total       CUDA total
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
LogSoftmaxBackward                       79665.887us          0.000us                1      79665.887us          0.000us
log_softmax_backward                     79656.198us          0.000us                1      79656.198us          0.000us
log_softmax                              79526.795us          0.000us                1      79526.795us          0.000us
MmBackward                               42420.337us          0.000us                1      42420.337us          0.000us
mm                                       28437.418us          0.000us                1      28437.418us          0.000us
mm                                       22970.392us          0.000us                1      22970.392us          0.000us
mm                                       19380.043us          0.000us                1      19380.043us          0.000us
addmm                                    15189.771us          0.000us                1      15189.771us          0.000us
NllLossBackward                          11791.722us          0.000us                1      11791.722us          0.000us
nll_loss_backward                        11781.753us          0.000us                1      11781.753us          0.000us
torch::autograd::AccumulateGrad           5922.273us          0.000us                1       5922.273us          0.000us
torch::autograd::Clone                    5915.226us          0.000us                1       5915.226us          0.000us
torch::autograd::AccumulateGrad           5538.096us          0.000us                1       5538.096us          0.000us
torch::autograd::Clone                    5533.218us          0.000us                1       5533.218us          0.000us
torch::autograd::AccumulateGrad           3727.113us          0.000us                1       3727.113us          0.000us
torch::autograd::Clone                    3721.637us          0.000us                1       3721.637us          0.000us
Embedding                                 2582.158us          0.000us                1       2582.158us          0.000us
EmbeddingBackward                         1486.119us          0.000us                1       1486.119us          0.000us
IndexBackward                             1324.342us          0.000us                1       1324.342us          0.000us
AdvancedIndexAdd                          1306.228us          0.000us                1       1306.228us          0.000us
Index                                      881.981us          0.000us                1        881.981us          0.000us
EmbeddingBackward                          792.823us          0.000us                1        792.823us          0.000us
AddmmBackward                              727.430us          0.000us                1        727.430us          0.000us
addmm                                      426.404us          0.000us                1        426.404us          0.000us
mm                                         420.040us          0.000us                1        420.040us          0.000us
SetItemBackward                            362.030us          0.000us                1        362.030us          0.000us
mm                                         280.972us          0.000us                1        280.972us          0.000us
SetItemBackward                            180.368us          0.000us                1        180.368us          0.000us
AddmmBackward                              178.798us          0.000us                1        178.798us          0.000us
AddmmBackward                              157.197us          0.000us                1        157.197us          0.000us
clone                                      151.393us          0.000us                1        151.393us          0.000us
AddmmBackward                              149.651us          0.000us                1        149.651us          0.000us
AddmmBackward                              145.076us          0.000us                1        145.076us          0.000us
AddmmBackward                              130.774us          0.000us                1        130.774us          0.000us
addmm                                      129.681us          0.000us                1        129.681us          0.000us
addmm                                      124.582us          0.000us                1        124.582us          0.000us
AddmmBackward                              124.431us          0.000us                1        124.431us          0.000us
mm                                         119.698us          0.000us                1        119.698us          0.000us
mm                                         118.659us          0.000us                1        118.659us          0.000us
AddmmBackward                              116.590us          0.000us                1        116.590us          0.000us
Embedding                                  116.111us          0.000us                1        116.111us          0.000us
AddmmBackward                              114.325us          0.000us                1        114.325us          0.000us
torch::autograd::Add                       114.316us          0.000us                1        114.316us          0.000us
clone                                      113.991us          0.000us                1        113.991us          0.000us
AddmmBackward                              113.976us          0.000us                1        113.976us          0.000us
addmm                                      113.962us          0.000us                1        113.962us          0.000us
AddmmBackward                              111.995us          0.000us                1        111.995us          0.000us
mm                                         111.500us          0.000us                1        111.500us          0.000us
AddmmBackward                              110.867us          0.000us                1        110.867us          0.000us
AddmmBackward                              109.289us          0.000us                1        109.289us          0.000us
addmm                                      109.158us          0.000us                1        109.158us          0.000us
addmm                                      108.379us          0.000us                1        108.379us          0.000us
AddmmBackward                              108.255us          0.000us                1        108.255us          0.000us
AddmmBackward                              108.020us          0.000us                1        108.020us          0.000us
AddmmBackward                              107.094us          0.000us                1        107.094us          0.000us
addmm                                      106.400us          0.000us                1        106.400us          0.000us
AddmmBackward                              106.094us          0.000us                1        106.094us          0.000us
SetItemBackward                            104.316us          0.000us                1        104.316us          0.000us
AddmmBackward                              103.841us          0.000us                1        103.841us          0.000us
addmm                                      103.630us          0.000us                1        103.630us          0.000us
AddmmBackward                              103.342us          0.000us                1        103.342us          0.000us
AddmmBackward                              103.079us          0.000us                1        103.079us          0.000us
AddmmBackward                              102.699us          0.000us                1        102.699us          0.000us
sigmoid                                    102.545us          0.000us                1        102.545us          0.000us
AddmmBackward                              101.587us          0.000us                1        101.587us          0.000us
AddmmBackward                              100.846us          0.000us                1        100.846us          0.000us
AddmmBackward                              100.385us          0.000us                1        100.385us          0.000us
AddmmBackward                               99.810us          0.000us                1         99.810us          0.000us
cat                                         98.828us          0.000us                1         98.828us          0.000us
AddmmBackward                               97.789us          0.000us                1         97.789us          0.000us
torch::autograd::Add                        97.080us          0.000us                1         97.080us          0.000us
AddmmBackward                               96.598us          0.000us                1         96.598us          0.000us
AddmmBackward                               96.117us          0.000us                1         96.117us          0.000us
AddmmBackward                               95.563us          0.000us                1         95.563us          0.000us
IndexBackward                               95.215us          0.000us                1         95.215us          0.000us
AddmmBackward                               94.512us          0.000us                1         94.512us          0.000us
addmm                                       92.668us          0.000us                1         92.668us          0.000us
AddmmBackward                               91.993us          0.000us                1         91.993us          0.000us
AddmmBackward                               91.329us          0.000us                1         91.329us          0.000us
addmm                                       89.691us          0.000us                1         89.691us          0.000us
AddmmBackward                               89.661us          0.000us                1         89.661us          0.000us
AddmmBackward                               89.042us          0.000us                1         89.042us          0.000us
AddmmBackward                               88.610us          0.000us                1         88.610us          0.000us
addmm                                       88.511us          0.000us                1         88.511us          0.000us
AddmmBackward                               88.387us          0.000us                1         88.387us          0.000us
IndexBackward                               88.050us          0.000us                1         88.050us          0.000us
addmm                                       86.064us          0.000us                1         86.064us          0.000us
addmm                                       85.776us          0.000us                1         85.776us          0.000us
addmm                                       85.743us          0.000us                1         85.743us          0.000us
SetItemBackward                             84.941us          0.000us                1         84.941us          0.000us
mm                                          84.467us          0.000us                1         84.467us          0.000us
torch::autograd::Add                        84.132us          0.000us                1         84.132us          0.000us
addmm                                       83.370us          0.000us                1         83.370us          0.000us
addmm                                       82.931us          0.000us                1         82.931us          0.000us
torch::autograd::AccumulateGrad             82.688us          0.000us                1         82.688us          0.000us
cat                                         81.829us          0.000us                1         81.829us          0.000us
addmm                                       81.802us          0.000us                1         81.802us          0.000us
torch::autograd::Clone                      80.376us          0.000us                1         80.376us          0.000us
addmm                                       80.071us          0.000us                1         80.071us          0.000us
addmm                                       79.384us          0.000us                1         79.384us          0.000us
AddmmBackward                               79.380us          0.000us                1         79.380us          0.000us
torch::autograd::Add                        79.269us          0.000us                1         79.269us          0.000us
addmm                                       79.259us          0.000us                1         79.259us          0.000us
AddmmBackward                               78.199us          0.000us                1         78.199us          0.000us
addmm                                       78.181us          0.000us                1         78.181us          0.000us
IndexBackward                               77.860us          0.000us                1         77.860us          0.000us
cat                                         77.748us          0.000us                1         77.748us          0.000us
addmm                                       77.232us          0.000us                1         77.232us          0.000us
addmm                                       76.008us          0.000us                1         76.008us          0.000us
AddmmBackward                               75.703us          0.000us                1         75.703us          0.000us
addmm                                       75.397us          0.000us                1         75.397us          0.000us
addmm                                       75.258us          0.000us                1         75.258us          0.000us
addmm                                       75.247us          0.000us                1         75.247us          0.000us
AddmmBackward                               75.100us          0.000us                1         75.100us          0.000us
AddmmBackward                               75.047us          0.000us                1         75.047us          0.000us
addmm                                       74.806us          0.000us                1         74.806us          0.000us
AddmmBackward                               74.514us          0.000us                1         74.514us          0.000us
torch::autograd::Add                        74.114us          0.000us                1         74.114us          0.000us
SetItemBackward                             73.703us          0.000us                1         73.703us          0.000us
addmm                                       73.530us          0.000us                1         73.530us          0.000us
addmm                                       73.070us          0.000us                1         73.070us          0.000us
addmm                                       72.886us          0.000us                1         72.886us          0.000us
addmm                                       72.682us          0.000us                1         72.682us          0.000us
AddmmBackward                               72.047us          0.000us                1         72.047us          0.000us
addmm                                       71.690us          0.000us                1         71.690us          0.000us
AddmmBackward                               71.406us          0.000us                1         71.406us          0.000us
